German,English
spiele,games
spielst,play
Schach,Chess
spielt,plays
schwimmt,swims
malt,paints
kocht,cooks
immer,always
schwimmst,you swim
kochst,cook
malst,paint
eh,eh
male,paint
nie,never
schwimme,swim
manchmal,sometimes
koche,cook
acht,eight
Lehrerin,Teacher
Arbeit,Work
Lehrer,Teacher
interessant,interesting
aber,but
stressig,stressful
Arzt,Physician
Studentin,student
Ärztin,doctor
Student,Student
Freundin,Girlfriend
Beruf,Profession
dein,your
was,What
Professorin,Professor
Professor,professor
Kellnerin,waitress
sie,she
Schauspieler,Actor
Schauspielerin,actress
laut,loud
aufregend,exciting
teuer,expensive
cool,cool
auch,also
Frankreich,France
komme,come
München,Munich
Stadt,City
Wien,Vienna
Österreich,Austria
woher,from where
kommst,come
Amerika,America
Deutschland,Germany
klein,small
WEHEDE,WEHEDE
wunderbar,wonderful
Schnitzel,Schnitzel
Rechnung,The invoice
Essen,Eat
Wurst,Sausage
Restaurant,restaurant
Salz,Salt
Entschuldigung,Excuse me
Kellner,Waiter
Speisekarte,Menu
kalt,cold
Mineralwasser,mineral water
Ei,egg
Sandwich,sandwich
hier,here
heiß,hot
lecker,yummy
Pizza,pizza
mit,with
SEIET,SEE
Käse,Cheese
tut,does
mir,me
leid,sorrow
natürlich,of course
ehe,before
bald,soon
prost,cheers
0K,0K
Wiedersehen,Goodbye
geht,goes
sah,saw
Tag,day
gehts,it's okay
Super,Super
Schnuller,dummy
Kleinkind,Toddler
Schlitten,Sleds
Neujahr,New Year
wünsche,wishes
Schokolade,Chocolate
Weihnachtsmarkt,Christmas market
frohe,happy
Rentier,reindeer
Stern,star
Schneeball,Snowball
Weihnachtsmann,Santa Claus
Lebkuchen,Gingerbread
möchtest,would like
Weihnachten,Christmas
Kekse,Cookies
Weihnachtsbaum,Christmas tree
Geschenk,Gift
Schnee,Snow
will,wants
hast,have
Liebe,Love
kann,can
süß,sweet
deine,your
möchte,would like
nächste,next
darf,may
dich,you
das,the
mal,just
nicht,not
wir,we
Meister,Master
sagt,says
Bär,Bear
Eule,Owl
oh,Oh
WO,WHERE
Katze,Cat
Elefant,elephant
schön,beautiful
jJung,jYoung
Hund,Dog
Junge,Boy
die,the
lag,lay
nett,nice
klug,smart
groß,big
sehr,very
Tochter,Daughter
Sohn,Son
du,you
bist,are
Frau,Woman
ach,Oh
Bruder,Brother
mein,my
meine,mine
Schwester,Sister
Mutter,Mother
bin,am
eine,one
ein,a
vier,four
Vater,Father
Bier,Beer
oder,or
nein,no
danke,Thanks
Wasser,Water
Brot,Bread
Wein,Wine
Tee,tea
hallo,Hello
Kaffee,Coffee
bitte,please
Milch,Milk
